company,cik,ticker,fiscal_year,concept,value,source_tag,end_date,filed,accn,sec_fy
EAST WEST BANCORP INC,0001069157,EWBC,2025,Assets,80434997000,Assets,2025-12-31,2026-02-27,0001069157-26-000009,2025
EAST WEST BANCORP INC,0001069157,EWBC,2024,Liabilities,68253421000,Liabilities,2024-12-31,2026-02-27,0001069157-26-000009,2025
EAST WEST BANCORP INC,0001069157,EWBC,2025,Liabilities,71535795000,Liabilities,2025-12-31,2026-02-27,0001069157-26-000009,2025
EAST WEST BANCORP INC,0001069157,EWBC,2024,Equity,7723054000,StockholdersEquity,2024-12-31,2026-02-27,0001069157-26-000009,2025
EAST WEST BANCORP INC,0001069157,EWBC,2025,Equity,8899202000,StockholdersEquity,2025-12-31,2026-02-27,0001069157-26-000009,2025
EAST WEST BANCORP INC,0001069157,EWBC,2024,NetIncome,1165586000,NetIncomeLoss,2024-12-31,2026-02-27,0001069157-26-000009,2025
EAST WEST BANCORP INC,0001069157,EWBC,2025,NetIncome,1325188000,NetIncomeLoss,2025-12-31,2026-02-27,0001069157-26-000009,2025
WEBSTER FINANCIAL CORPORATION,0000801337,WBS,2024,Assets,79025073000,Assets,2024-12-31,2026-02-27,0000801337-26-000008,2025
WEBSTER FINANCIAL CORPORATION,0000801337,WBS,2025,Assets,84073663000,Assets,2025-12-31,2026-02-27,0000801337-26-000008,2025
WEBSTER FINANCIAL CORPORATION,0000801337,WBS,2024,Liabilities,69891859000,Liabilities,2024-12-31,2026-02-27,0000801337-26-000008,2025
WEBSTER FINANCIAL CORPORATION,0000801337,WBS,2025,Liabilities,74581427000,Liabilities,2025-12-31,2026-02-27,0000801337-26-000008,2025
WEBSTER FINANCIAL CORPORATION,0000801337,WBS,2024,Equity,9133214000,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2024-12-31,2026-02-27,0000801337-26-000008,2025
WEBSTER FINANCIAL CORPORATION,0000801337,WBS,2025,Equity,9492236000,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2025-12-31,2026-02-27,0000801337-26-000008,2025
WEBSTER FINANCIAL CORPORATION,0000801337,WBS,2024,NetIncome,768707000,NetIncomeLoss,2024-12-31,2026-02-27,0000801337-26-000008,2025
WEBSTER FINANCIAL CORPORATION,0000801337,WBS,2025,NetIncome,1002802000,NetIncomeLoss,2025-12-31,2026-02-27,0000801337-26-000008,2025
